repo	agent_role	path	domain	memory_tier	process_stream	size_bytes	mtime_utc
Operator_Agent	operator_control	Operator_Agent/agent/error_writer.py	code	operational	execution	3195	2026-02-12T21:20:27Z
Operator_Agent	operator_control	Operator_Agent/agent/result_writer.py	code	operational	execution	4372	2026-02-12T21:20:27Z
Operator_Agent	operator_control	Operator_Agent/agent/logger.py	code	operational	general	4543	2026-02-12T21:20:27Z
Operator_Agent	operator_control	Operator_Agent/scripts/aess_autostart.sh	code	operational	orchestration	1364	2026-02-17T00:15:29Z
Operator_Agent	operator_control	Operator_Agent/scripts/gateway_io.sh	code	operational	orchestration	2510	2026-02-17T01:09:46Z
Operator_Agent	operator_control	Operator_Agent/agent/queue_manager.py	code	operational	transport	9554	2026-02-12T21:20:27Z
Operator_Agent	operator_control	Operator_Agent/tests/test_runtime_smoke.py	code	operational	validation	49	2026-02-13T01:12:35Z
Roaudter-agent	routing_core	Roaudter-agent/GATEWAY_ACCESS_CONTRACT.md	docs	long_term	contract_control	1348	2026-02-17T01:09:46Z
Roaudter-agent	routing_core	Roaudter-agent/INTERACTION_PROTOCOL.md	docs	long_term	contract_control	11650	2026-02-16T07:56:51Z
Roaudter-agent	routing_core	Roaudter-agent/SYSTEM_STATE_CONTRACT.md	docs	long_term	contract_control	1396	2026-02-13T07:33:07Z
Roaudter-agent	routing_core	Roaudter-agent/WORKFLOW_SNAPSHOT_CONTRACT.md	docs	long_term	contract_control	3461	2026-02-13T07:33:07Z
Roaudter-agent	routing_core	Roaudter-agent/.gitignore	other	long_term	general	118	2026-02-12T21:11:52Z
Roaudter-agent	routing_core	Roaudter-agent/LICENSE	other	long_term	general	1065	2026-01-28T22:40:34Z
Roaudter-agent	routing_core	Roaudter-agent/SYSTEM_STATE.md	docs	long_term	general	286	2026-02-13T07:33:07Z
Roaudter-agent	routing_core	Roaudter-agent/TEST_MIRROR_MATRIX_2026-02-17.md	docs	long_term	general	1449	2026-02-17T01:46:36Z
Roaudter-agent	routing_core	Roaudter-agent/WORKFLOW_SNAPSHOT_STATE.md	docs	long_term	general	1330	2026-02-13T07:26:43Z
Roaudter-agent	routing_core	Roaudter-agent/pyproject.toml	code	long_term	general	438	2026-02-12T21:11:52Z
Roaudter-agent	routing_core	Roaudter-agent/pytest.ini	code	long_term	general	92	2026-02-17T01:40:05Z
Roaudter-agent	routing_core	Roaudter-agent/DEV_LOGS.md	docs	long_term	governance	1572	2026-02-17T01:45:51Z
Roaudter-agent	routing_core	Roaudter-agent/README.md	docs	long_term	governance	506	2026-02-17T01:45:29Z
Roaudter-agent	routing_core	Roaudter-agent/ROADMAP.md	docs	long_term	governance	1732	2026-02-17T01:45:42Z
Roaudter-agent	routing_core	Roaudter-agent/WB01_ROAUDTER_DEEP_ANALYSIS_AND_STRATEGY_2026-02-17.md	docs	long_term	governance	1971	2026-02-17T01:46:10Z
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent/core.py	code	operational	execution	38	2026-01-28T22:40:34Z
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent.egg-info/PKG-INFO	other	operational	general	334	2026-01-29T13:14:16Z
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent.egg-info/SOURCES.txt	docs	operational	general	1199	2026-01-29T13:14:16Z
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent.egg-info/dependency_links.txt	docs	operational	general	1	2026-01-29T13:14:16Z
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent.egg-info/top_level.txt	docs	operational	general	15	2026-01-29T13:14:16Z
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent/__init__.py	code	operational	general	395	2026-01-28T22:48:03Z
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent/contracts.py	code	operational	general	914	2026-02-17T01:39:46Z
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent/health.py	code	operational	general	1573	2026-01-28T23:34:24Z
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent/lam_entrypoint.py	code	operational	general	5017	2026-02-17T01:39:50Z
Roaudter-agent	routing_core	Roaudter-agent/scripts/aess_autostart.sh	code	operational	orchestration	1364	2026-02-17T00:15:29Z
Roaudter-agent	routing_core	Roaudter-agent/scripts/gateway_io.sh	code	operational	orchestration	2510	2026-02-17T01:09:46Z
Roaudter-agent	routing_core	Roaudter-agent/scripts/pt.sh	code	operational	orchestration	184	2026-01-29T00:46:09Z
Roaudter-agent	routing_core	Roaudter-agent/scripts/rt.sh	code	operational	orchestration	361	2026-01-29T00:46:43Z
Roaudter-agent	routing_core	Roaudter-agent/scripts/test_entrypoint.sh	code	operational	orchestration	607	2026-02-17T01:45:20Z
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent/policy.py	code	operational	routing	3540	2026-01-29T12:35:58Z
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent/providers/base.py	code	operational	routing	1184	2026-01-28T23:19:24Z
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent/providers/claude.py	code	operational	routing	3608	2026-01-28T23:45:15Z
